OID,Asset_Group,Is_Connected,Install_Year,Diameter,Material,Avg_Kam_Avg,Max_Kam_Max,Min_Kam_Min,Avg_Kam_Count,Avg_Kam_NaN_Count,Max_Avg_gpm,Line_Length,Dist_to_Storage,Dist_to_Hydrant,Dist_to_PV,Dist_to_SV,Leak_Y_N
9765,1,1,0,16,0,0,0,0,0,0,0,128,2355,157,3792,111,1
11794,1,1,0,6,0,0,0,0,0,0,0,86,5129,79,802,23,1
5,1,0,0,20,0,0,0,0,0,0,0,733,1699,3,2969,0,1
10294,2,1,1903,8,0,0,0,0,0,0,0,37,6212,49,1559,38,1
8590,2,1,0,0.75,84,0,0,0,0,0,0,3,2355,157,3900,111,1
11899,2,1,1946,0.75,84,0,0,0,0,0,0,3,4536,166,1047,107,1
4870,1,1,1985,8,0,7,76,5,153,0,1,124,5832,14,513,439,1
9764,1,1,0,16,0,0,0,0,0,0,0,31,2324,127,3900,80,1
5467,2,1,0,0.75,84,5,6,5,153,0,0,12,2354,156,3901,111,1
8220,1,1,0,8,0,23,78,0,102,0,0,77,4848,58,1519,119,1
4267,1,1,0,36,0,54,787,0,123,2,0,186,5176,6,495,3,1
11461,1,1,0,10,0,0,0,0,0,0,0,329,4922,22,854,5,1
2372,2,0,1951,0.75,0,0,0,0,0,0,0,8,1313,97,3690,373,1
12003,2,1,1946,0.75,84,0,0,0,0,0,0,26,4540,162,1029,105,1
11963,1,1,1917,8,0,0,0,0,0,0,0,39,4311,89,1403,9,1
1512,1,1,0,6,0,0,0,0,0,0,0,23,5112,78,886,0,1
10535,1,1,0,10,0,0,0,0,0,0,0,78,5129,10,886,23,1
11977,2,0,1951,0.75,0,0,0,0,0,0,0,6,1320,97,3685,373,1
9472,1,1,0,6,0,18,647,0,125,3,1,90,5488,78,663,46,1
5517,1,1,1951,6,0,14,98,0,115,0,2,453,1208,3,3565,18,1
11964,1,1,1917,8,0,0,0,0,0,0,0,9,4319,127,1427,0,1
