"Repair","Asset","AssetID","StartDate","EndDate","Street","Number"
"Repair","Non-Asset","","9/13/2024","9/13/2024","E Northside Dr","1607"
"Repair","Water Main","Wtr-Mn-57485","9/16/2024","9/16/2024","Summit Dr","2044"
"Repair","Water Main","Wtr-Mn-11713","9/25/2024","9/25/2024","Main St","3845"
"Repair","Water Main","Wtr-Mn-4179","9/12/2024","9/12/2024","Woodbury Rd","715"
"Repair","Water Main","Wtr-Mn-29197","9/24/2024","9/24/2024","Woodside Dr","2617"
"Repair","Non-Asset","","9/18/2024","9/18/2024","E Fortification St","693"
"Repair","Water Main","Wtr-Mn-25448","9/19/2024","9/19/2024","N Farish St","752"
"Repair","Water Main","Wtr-Mn-11329","10/22/2024","10/22/2024","S State St","664"
"Repair","Water Main","Wtr-Mn-12480","10/8/2024","10/8/2024","Deloise Ave","107"
"Repair","Water Lateral","Srvc-86504","10/18/2024","10/18/2024","Dory St","419"
"Repair","Non-Asset","","10/9/2024","10/9/2024","Shands St.","100"
"Repair","Water Main","Wtr-Mn-6125","9/17/2024","9/17/2024","Bay St","3600"
"Repair","Water Main","Wtr-Mn-1382","10/9/2024","10/9/2024","Rob Ln","12"
"Repair","Water Lateral","Srvc-45952","8/22/2024","8/22/2024","Hillside Dr","2735"
"Repair","Water Lateral","Srvc-73133","10/15/2024","10/15/2024","Beaver St.","612"
"Repair","Non-Asset","","9/19/2024","9/19/2024","Neatherwood Dr","115"
"Repair","Water Main","Wtr-Mn-7672","10/18/2024","10/18/2024","Neatherwood Dr","115"
"Repair","Water Main","Wtr-Mn-34053","10/14/2024","10/14/2024","Marydale Dr","1211"
"Repair","Non-Asset","","7/11/2024","7/11/2024","Neatherwood Dr","136"
"Repair","Water Lateral","Srvc-34571","9/18/2024","9/18/2024","N Hill Dr","5171"
"Repair","Water Lateral","Srvc-74833","10/15/2024","10/15/2024","Brookwood Dr","2658"
"Repair","Water Main","Wtr-Mn-21716","9/10/2024","9/10/2024","Ferncreek Dr","6231"
"Repair","Non-Asset","","9/20/2024","9/20/2024","Prosperity St","2542"
"Repair","Water Main","Wtr-Mn-49660","8/26/2024","8/26/2024","Briarwood Dr","1170"
"Repair","Water Main","Wtr-Mn-39830","10/8/2024","10/8/2024","Oak Forest Dr","2801"
"Repair","System Valve","Systm-Vlv-995","10/7/2024","10/7/2024","W Capitol St","368"
"Repair","Water Main","Wtr-Mn-39908","8/27/2024","8/27/2024","Metrocenter","1189"
"Repair","Water Main","Wtr-Mn-27274","10/8/2024","10/8/2024","Echelon Pkwy","1220"
"Repair","Water Hydrant","Fr-Hydrnt-7324","10/2/2024","10/2/2024","Smallwood St","1883"
"Repair","Non-Asset","","10/14/2024","10/14/2024","Maryland Dr","4473"
